"parameter","median","cri_lo","cri_hi"
"EIR",0.0662,0.0428,0.109
"gamma_llin",0.817,0.586,1.1
"r_clin",1.13,0.933,1.41
"v_max",0.869,0.773,0.974
"alpha",0.907,0.411,2.09
"beta",471,52.4,1210
"rho1",0.689118192791519,0.654074992029799,0.722119605849357
"rho2",0.517792484140763,0.479386690285551,0.555520110503999
"d_s",44.8,40.9,49.1
"d_l",533,460,617
