"region","year","age_lower","age_upper","mortality_rate"
"SSA",2021,0,0.0767123287671233,0.283732037981817
"SSA",2021,0.0767123287671233,1,0.0299500464128935
"SSA",2021,1,2,0.0238591981165693
"SSA",2021,2,3,0.0260413720587148
"SSA",2021,3,4,0.023095801867378
"SSA",2021,4,5,0.0213707336208125
"SSA",2021,5,6,0.021004537101204
"SSA",2021,6,7,0.0210086673579687
"SSA",2021,7,8,0.0202058878125156
"SSA",2021,8,9,0.0200018449981373
"SSA",2021,9,10,0.0221375123267863
"SSA",2021,10,11,0.0239574808254897
"SSA",2021,11,12,0.0244777101748155
"SSA",2021,12,13,0.0270054672308392
"SSA",2021,13,14,0.0289926565602891
"SSA",2021,14,15,0.0295355857320678
"SSA",2021,15,16,0.0317607626930247
"SSA",2021,16,17,0.0330094923557919
"SSA",2021,17,18,0.0325921631548312
"SSA",2021,18,19,0.0327019681554931
"SSA",2021,19,20,0.0340369000984479
"SSA",2021,20,21,0.0350493900734784
"SSA",2021,21,22,0.0355583479020672
"SSA",2021,22,23,0.0331427703794877
"SSA",2021,23,24,0.0288866848416376
"SSA",2021,24,25,0.0290429128084074
"SSA",2021,25,26,0.0323253641305294
"SSA",2021,26,27,0.0321180905554772
"SSA",2021,27,28,0.0301210006012562
"SSA",2021,28,29,0.0293627916956945
"SSA",2021,29,30,0.0288928752643242
"SSA",2021,30,31,0.0282252429090531
"SSA",2021,31,32,0.028162938466853
"SSA",2021,32,33,0.0294779078690287
"SSA",2021,33,34,0.0312722659220486
"SSA",2021,34,35,0.0332924791717072
"SSA",2021,35,36,0.0346642528723562
"SSA",2021,36,37,0.0354309390167758
"SSA",2021,37,38,0.03642814510266
"SSA",2021,38,39,0.0381494193552955
"SSA",2021,39,40,0.0407221994171091
"SSA",2021,40,41,0.044063997516299
"SSA",2021,41,42,0.0468987039224077
"SSA",2021,42,43,0.0482156573151925
"SSA",2021,43,44,0.0479346729879153
"SSA",2021,44,45,0.0462684199730472
"SSA",2021,45,46,0.0438534901345902
"SSA",2021,46,47,0.0414222054233314
"SSA",2021,47,48,0.0394104959162462
"SSA",2021,48,49,0.0385432213207798
"SSA",2021,49,50,0.0389722990275077
"SSA",2021,50,51,0.0402102604236197
"SSA",2021,51,52,0.041827767329611
"SSA",2021,52,53,0.0437646740162169
"SSA",2021,53,54,0.0456986228635998
"SSA",2021,54,55,0.0475967838603785
"SSA",2021,55,56,0.0494021794559989
"SSA",2021,56,57,0.0511473648560122
"SSA",2021,57,58,0.0528705077354656
"SSA",2021,58,59,0.0546595907513511
"SSA",2021,59,60,0.0563665184610788
"SSA",2021,60,61,0.0580245261719697
"SSA",2021,61,62,0.059381644747774
"SSA",2021,62,63,0.0608052790243643
"SSA",2021,63,64,0.0620193074882675
"SSA",2021,64,65,0.0632372297084019
"SSA",2021,65,66,0.0646099827568733
"SSA",2021,66,67,0.0660693982469502
"SSA",2021,67,68,0.0678434150035372
"SSA",2021,68,69,0.0699068797965521
"SSA",2021,69,70,0.0721697229921959
"SSA",2021,70,71,0.0749581654467225
"SSA",2021,71,72,0.0773626722970426
"SSA",2021,72,73,0.0804925872675575
"SSA",2021,73,74,0.0840260184609837
"SSA",2021,74,75,0.0881058939071148
"SSA",2021,75,76,0.0926512958437984
"SSA",2021,76,77,0.0976225824494103
"SSA",2021,77,78,0.103237428705576
"SSA",2021,78,79,0.109994419474604
"SSA",2021,79,80,0.117298127426136
"SSA",2021,80,81,0.125892218361533
"SSA",2021,81,82,0.134667127521815
"SSA",2021,82,83,0.145414251206813
"SSA",2021,83,84,0.157246266583772
"SSA",2021,84,85,0.171056599028067
"SSA",2021,85,86,0.184888642839021
"SSA",2021,86,87,0.198299662878181
"SSA",2021,87,88,0.209973146258753
"SSA",2021,88,89,0.220931652135874
"SSA",2021,89,90,0.231569693440121
"SSA",2021,90,91,0.243345549170105
"SSA",2021,91,92,0.252920345832553
"SSA",2021,92,93,0.264678897763956
"SSA",2021,93,94,0.276026784483791
"SSA",2021,94,95,0.288001263386251
"SSA",2021,95,96,0.298970342380725
"SSA",2021,96,97,0.310352740098221
"SSA",2021,97,98,0.32147748219049
"SSA",2021,98,99,0.332063881128093
"SSA",2021,99,100,0.344371446063082
"SSA",2021,100,200,0.9
