"","peak1","peak2","peak3","duration1","duration2","rho1","rho2"
"2.5%",2237.44,2312.638,1338.13108224444,32.53400971978,219.290230645641,0.408337587502124,0.27083107501015
"25%",6115.188,6576.887,5112.28843745258,40.0609483069344,393.539774184852,0.599113981670528,0.427024274429885
"mean",11158.6213226511,10273.117756735,8305.66196126205,44.683338909666,534.868016643963,0.69150559936454,0.517843262121715
"75%",19133.738,15741.563,15716.6720620365,49.839079215468,726.950143276417,0.770751666629846,0.607498472539872
"97.5%",55655.491,37924.669,35899.4367286838,61.3696495855591,1304.58978672397,0.879231960949669,0.756432074203728
